Date,Hour,Dealers,SKU,SRP,Promotion Price,Change,Sold,Rate,Vendor,Series Group,Segment,CPU Segment,CPU,RAM,SSD,Screen,GPU,V-RAM,Weight,Products link,Part #,Focus Model,Status
22/07/2026,02:09,MBW,"Laptop HP 15 fc0023AU - D0BH1PA (R5 7520U, 16GB, 512GB, Full HD, Win11)",23990000,18990000,-20%,"• Đã bán 4,5k",4.9,HP,Business& Productivity,HP 15,Ryzen 5,Ryzen 5 7520U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-15-fc0023au-r5-7520u-d0bh1pa,D0BH1PA,Yes,
22/07/2026,02:09,MBW,Laptop MacBook Neo 13 inch A18 Pro 8GB/256GB,19490000,18990000,,"• Đã bán 2,3k",4.9,MacBook,Business& Productivity,MacBook Neo,,,RAM 8 GB,SSD 256 GB,,,,,https://www.thegioididong.com/laptop/macbook-neo-13-inch-a18-pro-8gb-256gb,,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook S14 S3407VA - LY146W (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",22990000,19990000,-13%,"• Đã bán 1,2k",5,Asus,Business& Productivity,Vivobook,Core 5,Core 5 210H,RAM 16 GB,SSD 512 GB,"14"", WUXGA (1920 x 1200), 60 Hz",Intel UHD,,,https://www.thegioididong.com/laptop/asus-vivobook-s14-s3407va-core-5-210h-ly146w,S3407VA - LY146W,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15255 - DC5R5973W1-2Y (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",25690000,25290000,,,,Dell,Business& Productivity,Dell 15,Ryzen 5,Ryzen 5 7530U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/dell-15-dc15255-r5-7530u-dc5r5973w1-2y,DC5R5973W1-2Y,No,
22/07/2026,02:09,MBW,Laptop MacBook Air 13 inch M5 16GB/512GB/8GPU 70W,36590000,35790000,,• Đã bán 90,5,MacBook,Business& Productivity,MacBook Air,,,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/macbook-air-13-inch-m5-16gb-512gb-70w?utm_flashsale=1,,No,
22/07/2026,02:09,MBW,"Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EPVN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",24990000,17690000,-29%,• Đã bán 860,5,Lenovo,Business& Productivity,IdeaPad Slim 3,Ryzen 5,Ryzen 5 7535HS,RAM 16 GB,SSD 512 GB,"15.3"", WUXGA (1920 x 1200), 60 Hz",AMD Radeon 660M,,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15arp10-r5-7535hs-83k700epvn,83K700EPVN,No,
22/07/2026,02:09,MBW,"Laptop HP 240R G10 - C3RU6AT (Core 3 100U, 8GB, 512GB, Full HD, Win11)",20190000,14790000,-26%,• Đã bán 1k,5,HP,Business& Productivity,HP 240,Core 3,Core 3 100U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-240r-g10-core-3-100u-c3ru6at,C3RU6AT,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 16 A1607QA - MB067W (X1 26 100, 16GB, 512GB, WUXGA, Win11)",22990000,18490000,-19%,• Đã bán 296,5,Asus,Business& Productivity,Vivobook,Snapdragon X,"Snapdragon X, X1 26 100",RAM 16 GB,SSD 512 GB,"16"", WUXGA (1920 x 1200), 60 Hz",Qualcomm Adreno GPU,,,https://www.thegioididong.com/laptop/asus-vivobook-16-a1607qa-x1-26-100-mb067w,A1607QA - MB067W,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15250 - DC5I7748W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",25990000,23490000,-9%,"• Đã bán 3,6k",4.9,Dell,Business& Productivity,Dell 15,Core i7,Core i7 1355U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 120Hz",Intel UHD,,,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-dc5i7748w1,DC5I7748W1,No,
22/07/2026,02:09,MBW,"Laptop MSI Modern 15 F13MG - 667VN_16GB (i5 1334U, 16GB, 512GB, Full HD, Win11)",20190000,18190000,-9%,• Đã bán 745,5,MSI,Business& Productivity,Modern,Core i5,Core i5 1334U,RAM 16 GB,SSD 512 GB,,Intel Iris Xe,,,https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-1334u-667vn-16gb,667VN,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15-48P-R86Q - NX.DS1SV.002 (R7 5825U, 8GB, 512GB, Full HD, Win11)",21990000,18990000,-13%,• Đã bán 5,5,Acer,Business& Productivity,Aspire Lite,Ryzen 7,Ryzen 7 5825U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-48p-r86q-r7-5825u-nx-ds1sv-002,AL15-48P-R86Q,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15-53P-56QH - NX.DG3SV.001 (Core 5 120U, 8GB, 512GB, Full HD, Win11)",24990000,20990000,-16%,• Đã bán 2,,Acer,Business& Productivity,Aspire Lite,Core 5,Core 5 120U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-53p-56qh-core-5-120u-nx-dg3sv-001,AL15-53P-56QH,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 15 X1504VA - BQ185WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",20590000,18990000,-7%,• Đã bán 5k,5,Asus,Business& Productivity,Vivobook,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080)",Intel Graphics,,,https://www.thegioididong.com/laptop/asus-x1504va-core-5-bq185ws,X1504VA - BQ185WS,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15250 - DC5I5897W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",23490000,20990000,-10%,"• Đã bán 1,3k",5,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD, 120Hz",Intel UHD,,,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc5i5897w1,DC5I5897W1,No,
22/07/2026,02:09,MBW,Laptop MacBook Air 15 inch M5 16GB/512GB 70W,41990000,41490000,,• Đã bán 39,5,MacBook,Business& Productivity,MacBook Air,,,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/macbook-air-15-inch-m5-16gb-512gb-70w,,No,
22/07/2026,02:09,MBW,"Laptop Lenovo Gaming LOQ 15IAX9E - 83LK0079VN (i5 12450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",24990000,23090000,-7%,• Đã bán 4k,4.9,Lenovo,Gaming,LOQ,Core i5,Core i5 12450H,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 144Hz",RTX 3050,6G,,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk0079vn,83LK0079VN,No,
22/07/2026,02:09,MBW,"Laptop HP 240R G10 - C3RU7AT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",26590000,19790000,-25%,"• Đã bán 1,7k",5,HP,Business& Productivity,HP 240,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-240r-g10-core-5-120u-c3ru7at,C3RU7AT,Yes,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15 72P 581V - NX.D4CSV.001 (i5 13500H, 16GB, 512GB, Full HD, Win11)",20990000,18490000,-11%,• Đã bán 884,5,Acer,Business& Productivity,Aspire Lite,Core i5,Core i5 13500H,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Intel UHD,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-72p-581v-i5-13500h-nx-d4csv-001,AL15 72P 581V ,No,
